net,fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
cnn,3,knn,0.8653,0.95,0.9019,0.7074,0.7778,0.7296,0.6162,0.6711,0.6338,0.819,0.7475,0.819,0.7746,0.8151
cnn,4,knn,0.8902,0.92,0.8993,0.7778,0.8444,0.8,0.6623,0.7105,0.6776,0.8326,0.7889,0.8326,0.8029,0.8292
cnn,5,knn,0.8836,0.85,0.8532,0.6519,0.8,0.6956,0.5713,0.6316,0.5886,0.7647,0.729,0.7647,0.7301,0.7604
cnn,6,knn,0.8045,0.81,0.8024,0.5889,0.7111,0.6252,0.5285,0.5921,0.5482,0.7149,0.6657,0.7149,0.6789,0.709
cnn,7,knn,0.8035,0.86,0.8206,0.6685,0.7556,0.6941,0.6338,0.6842,0.6491,0.7783,0.7176,0.7783,0.7358,0.7739
cnn,8,knn,0.8717,0.88,0.871,0.7148,0.8222,0.7482,0.7149,0.75,0.7259,0.8235,0.7858,0.8235,0.7961,0.8199
cnn,9,knn,0.8144,0.81,0.8048,0.5833,0.6889,0.6163,0.5998,0.6711,0.6215,0.7376,0.6935,0.7376,0.7034,0.7325
cnn,0,rf,0.822,0.95,0.8773,0.4167,0.5556,0.4563,0.5175,0.5658,0.5329,0.7376,0.6348,0.7376,0.6731,0.7318
cnn,1,rf,0.8952,0.96,0.9226,0.8167,0.8889,0.8385,0.7171,0.75,0.7281,0.8733,0.818,0.8733,0.8386,0.8708
cnn,2,rf,0.7131,0.9,0.7776,0.2815,0.4222,0.3222,0.4408,0.4605,0.4474,0.6516,0.5315,0.6516,0.5713,0.6452
cnn,3,rf,0.8034,0.96,0.8559,0.5741,0.6222,0.5889,0.557,0.6053,0.5724,0.7692,0.672,0.7692,0.704,0.7655
cnn,4,rf,0.8553,0.95,0.8935,0.5741,0.6889,0.6074,0.6382,0.6711,0.6491,0.8009,0.7234,0.8009,0.7512,0.7967
cnn,5,rf,0.8019,0.93,0.8558,0.5644,0.6889,0.5963,0.5658,0.5921,0.5746,0.7647,0.6723,0.7647,0.7062,0.7597
cnn,6,rf,0.8514,0.89,0.8643,0.563,0.6889,0.5993,0.5833,0.6579,0.6075,0.7692,0.7005,0.7692,0.722,0.7645
cnn,7,rf,0.7183,0.89,0.7855,0.4648,0.5778,0.4978,0.4912,0.5395,0.5066,0.7059,0.5886,0.7059,0.631,0.6991
cnn,8,rf,0.9179,0.93,0.92,0.7426,0.8667,0.7793,0.6623,0.6974,0.6732,0.8371,0.7943,0.8371,0.8065,0.8339
cnn,9,rf,0.7892,0.88,0.8114,0.4685,0.6,0.5089,0.5,0.5658,0.5219,0.7149,0.6245,0.7149,0.6503,0.71
cnn,0,svm,0.753,0.97,0.8369,0.3852,0.5111,0.4178,0.2307,0.2895,0.2478,0.6425,0.4985,0.6425,0.549,0.6344
cnn,1,svm,0.8837,0.97,0.9214,0.8044,0.8667,0.8222,0.6776,0.7105,0.6886,0.8597,0.7967,0.8597,0.8211,0.8569
cnn,2,svm,0.6373,0.97,0.7561,0.1563,0.2889,0.1926,0.1053,0.1316,0.114,0.543,0.3564,0.543,0.4205,0.5311
cnn,3,svm,0.7022,0.96,0.7942,0.3426,0.4889,0.3867,0.25,0.2763,0.2588,0.629,0.4735,0.629,0.5271,0.6205
cnn,4,svm,0.7821,0.95,0.8468,0.35,0.5778,0.4119,0.261,0.2895,0.2697,0.6471,0.5149,0.6471,0.5598,0.639
cnn,5,svm,0.7446,0.94,0.8181,0.3822,0.5778,0.4363,0.1941,0.2237,0.2026,0.6199,0.4815,0.6199,0.5287,0.6112
cnn,6,svm,0.7626,0.9,0.8192,0.2269,0.4889,0.2832,0.1447,0.1711,0.1535,0.5656,0.441,0.5656,0.4812,0.5558
