top,fold,classifier,large pre,large re,large f1,medium pre,medium re,medium f1,small pre,small re,small f1,all acc,all pre,all re,all f1,all mcc
320,8,rf,0.9527,0.97,0.9609,0.9296,0.9778,0.9444,0.9013,0.9079,0.9035,0.9502,0.9303,0.9502,0.9378,0.9492
320,9,rf,0.9809,0.99,0.9852,0.9389,0.9778,0.9496,0.875,0.8947,0.8816,0.9548,0.9359,0.9548,0.9423,0.9539
320,0,svm,0.9552,0.99,0.9714,0.9185,0.9556,0.9296,0.8662,0.8816,0.8706,0.9457,0.9171,0.9457,0.9282,0.9447
320,1,svm,0.9533,0.97,0.9609,0.9389,0.9778,0.9496,0.9013,0.9079,0.9035,0.9502,0.9325,0.9502,0.9389,0.9493
320,2,svm,0.9742,0.99,0.9809,0.9185,0.9556,0.9296,0.9342,0.9342,0.9342,0.9638,0.9491,0.9638,0.9544,0.9631
320,3,svm,0.945,0.97,0.9561,0.9296,0.9778,0.9444,0.8553,0.8684,0.8596,0.9367,0.911,0.9367,0.9205,0.9354
320,4,svm,0.9678,0.99,0.9769,0.963,1.0,0.9741,0.9079,0.9079,0.9079,0.9638,0.9462,0.9638,0.9526,0.9632
320,5,svm,0.9775,0.96,0.9678,0.9222,0.9778,0.9363,0.875,0.8947,0.8816,0.9412,0.931,0.9412,0.9317,0.9402
320,6,svm,0.9809,0.99,0.9852,0.9296,0.9778,0.9444,0.875,0.8947,0.8816,0.9548,0.934,0.9548,0.9413,0.9539
320,7,svm,0.9576,1.0,0.9771,0.9056,0.9333,0.9126,0.8816,0.8947,0.886,0.9502,0.9208,0.9502,0.9326,0.9493
320,8,svm,0.9446,0.97,0.9567,0.9296,0.9778,0.9444,0.875,0.8816,0.8772,0.9412,0.9176,0.9412,0.9268,0.94
320,9,svm,0.9718,0.99,0.9805,0.9389,0.9778,0.9496,0.8816,0.8947,0.886,0.9548,0.9341,0.9548,0.9417,0.9539
330,0,dtree,0.9742,0.99,0.9809,0.9296,0.9778,0.9444,0.7237,0.7763,0.739,0.914,0.879,0.914,0.8903,0.9124
330,1,dtree,0.9622,0.97,0.9651,0.8944,0.9556,0.9126,0.8224,0.8553,0.8333,0.9276,0.9003,0.9276,0.9091,0.9262
330,2,dtree,0.9727,0.99,0.9805,0.9185,0.9556,0.9296,0.8092,0.8553,0.8246,0.9367,0.9055,0.9367,0.9165,0.9354
330,3,dtree,0.947,0.96,0.9494,0.8907,0.9556,0.9089,0.7763,0.8158,0.7895,0.9095,0.8768,0.9095,0.8862,0.9079
330,4,dtree,0.9636,0.98,0.9709,0.8852,0.9556,0.9074,0.75,0.7895,0.7632,0.9095,0.8742,0.9095,0.8865,0.9077
330,5,dtree,0.9778,0.95,0.9632,0.8611,0.9333,0.883,0.7478,0.8026,0.7654,0.8959,0.8749,0.8959,0.8788,0.894
330,6,dtree,0.9636,0.97,0.9657,0.8741,0.9333,0.8926,0.8048,0.8421,0.8158,0.9186,0.8908,0.9186,0.8992,0.917
330,7,dtree,0.9652,0.99,0.9761,0.8389,0.9111,0.8607,0.8224,0.8421,0.8289,0.9231,0.8903,0.9231,0.902,0.9216
330,8,dtree,0.9546,0.98,0.9662,0.8704,0.9333,0.8889,0.761,0.8026,0.7741,0.9095,0.8708,0.9095,0.8844,0.9077
330,9,dtree,0.9909,0.99,0.99,0.9044,0.9556,0.9185,0.7763,0.8289,0.7939,0.9276,0.8995,0.9276,0.908,0.9263
330,0,knn,0.9334,0.94,0.9255,0.9667,1.0,0.9778,0.8399,0.8684,0.8487,0.9276,0.908,0.9276,0.9097,0.9267
330,1,knn,0.9375,0.92,0.9145,0.963,1.0,0.9741,0.8662,0.8947,0.875,0.9276,0.9182,0.9276,0.9131,0.9268
330,2,knn,0.9373,0.96,0.9452,0.9185,0.9556,0.9296,0.9145,0.9211,0.9167,0.9457,0.9256,0.9457,0.9322,0.9448
330,3,knn,0.9375,0.95,0.9414,0.9333,0.9556,0.9407,0.8794,0.9079,0.8882,0.9367,0.9167,0.9367,0.923,0.9354
330,4,knn,0.9369,0.96,0.947,0.9556,0.9778,0.963,0.8596,0.8816,0.8662,0.9367,0.9141,0.9367,0.9225,0.9354
330,5,knn,0.9519,0.93,0.936,0.9278,0.9778,0.9422,0.8662,0.8947,0.875,0.9276,0.9175,0.9276,0.9163,0.9264
330,6,knn,0.9088,0.91,0.9005,0.9222,0.9556,0.9333,0.8662,0.8947,0.875,0.914,0.8969,0.914,0.8984,0.9128
330,7,knn,0.949,0.97,0.9577,0.9444,0.9556,0.9481,0.8991,0.9211,0.9057,0.9502,0.9309,0.9502,0.9379,0.9493
330,8,knn,0.9281,0.94,0.9314,0.9444,0.9778,0.9556,0.8684,0.8947,0.8772,0.9321,0.9109,0.9321,0.9177,0.9308
