method name,weight
TelephonyManager.getVoiceMailAlphaTag(),0.0
WallpaperManager.clear(),0.0
WallpaperManager.getDrawable(),0.0
WallpaperManager.setStream(java.io.InputStream),0.0
"WallpaperManager.suggestDesiredDimensions(int, int)",0.0
android.app.action.DEVICE_ADMIN_DISABLED,0.0
android.app.action.DEVICE_ADMIN_DISABLE_REQUESTED,0.0
android.bluetooth.device.action.ACL_DISCONNECTED,0.0
android.intent.action.CALL_BUTTON,0.0
android.intent.action.EVENT_REMINDER,0.0
android.intent.action.MEDIA_CHECKING,0.0
android.intent.category.SELECTED_ALTERNATIVE,0.0
android.media.action.IMAGE_CAPTURE,0.0
android.permission.ACCESS_CHECKIN_PROPERTIES,0.0
android.permission.ACCOUNT_MANAGER,0.0
android.permission.BIND_WALLPAPER,0.0
android.permission.CHANGE_WIFI_MULTICAST_STATE,0.0
android.permission.FACTORY_TEST,0.0
android.permission.REORDER_TASKS,0.0
